,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_10,recall_at_20,recall_at_50,mean_rank,average_similarity,threshold
0,0.26,0.35999998,0.42,0.53999996,0.62,0.74,0.9,1.0,7.44,0.5637433,
1,0.26,0.35999998,0.39999998,0.52,0.58,0.64,0.65999997,0.65999997,7.44,0.5637433,0.55
2,0.22,0.32,0.35999998,0.48,0.53999996,0.59999996,0.62,0.62,7.44,0.5637433,0.5607142857142857
3,0.22,0.32,0.35999998,0.48,0.53999996,0.58,0.59999996,0.59999996,7.44,0.5637433,0.5714285714285715
4,0.22,0.32,0.35999998,0.45999998,0.52,0.53999996,0.56,0.56,7.44,0.5637433,0.5821428571428572
5,0.22,0.32,0.35999998,0.45999998,0.52,0.53999996,0.56,0.56,7.44,0.5637433,0.5928571428571429
6,0.17999999,0.28,0.29999998,0.39999998,0.45999998,0.48,0.5,0.5,7.44,0.5637433,0.6035714285714285
7,0.17999999,0.28,0.29999998,0.38,0.44,0.45999998,0.48,0.48,7.44,0.5637433,0.6142857142857143
8,0.16,0.26,0.28,0.35999998,0.39999998,0.42,0.44,0.44,7.44,0.5637433,0.625
9,0.14,0.24,0.26,0.34,0.35999998,0.35999998,0.35999998,0.35999998,7.44,0.5637433,0.6357142857142857
10,0.099999994,0.19999999,0.22,0.28,0.28,0.28,0.28,0.28,7.44,0.5637433,0.6464285714285714
11,0.099999994,0.19999999,0.19999999,0.22,0.22,0.22,0.22,0.22,7.44,0.5637433,0.6571428571428571
12,0.08,0.17999999,0.17999999,0.17999999,0.17999999,0.17999999,0.17999999,0.17999999,7.44,0.5637433,0.6678571428571428
13,0.08,0.14,0.14,0.14,0.14,0.14,0.14,0.14,7.44,0.5637433,0.6785714285714286
14,0.08,0.099999994,0.099999994,0.099999994,0.099999994,0.099999994,0.099999994,0.099999994,7.44,0.5637433,0.6892857142857143
15,0.08,0.099999994,0.099999994,0.099999994,0.099999994,0.099999994,0.099999994,0.099999994,7.44,0.5637433,0.7
